Journal,Management,First Section,Second Section,Third Section,Fourth Section,Fifth Section,PubType,Relevance
INTERNATIONAL CRITICAL THOUGHT,0,X,X,0,X,X,J,1
INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS,1,0,NA,0,1,X,J,1
INTERNATIONAL EROSION CONTROL ASSOCIATION - PROCEEDINGS OF CONFERENCE 30,0,X,X,X,X,0,S,0
INTERNATIONAL FEMINIST JOURNAL OF POLITICS,1,X,NA,1,X,X,J,1
INTERNATIONAL FORESTRY REVIEW,1,X,NA,0,1,1,J,1
INTERNATIONAL HANDBOOK ON THE ECONOMICS OF ENERGY,0,X,X,X,X,0,B,0
"INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016",0,X,0,X,X,X,S,0
INTERNATIONAL HISTORY REVIEW,0,X,X,0,X,X,J,1
INTERNATIONAL INTERACTIONS,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL FOR CRIME JUSTICE AND SOCIAL DEMOCRACY,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL FOR PARASITOLOGY,1,X,1,X,X,0,J,1
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,1,X,1,0,X,X,J,1
INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH,1,X,1,X,X,X,J,1
INTERNATIONAL JOURNAL OF AGRICULTURAL AND BIOLOGICAL ENGINEERING,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF AGRICULTURAL AND STATISTICAL SCIENCES,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY,1,1,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF AGRONOMY,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,1,1,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF ASTROBIOLOGY,0,X,X,0,X,X,J,1
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,1,1,NA,1,0,X,J,1
INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,1,1,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF CLIMATOLOGY,1,1,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF COMMUNICATION,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,0,X,X,0,0,X,J,1
INTERNATIONAL JOURNAL OF CULTURAL POLICY,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF DIGITAL EARTH,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF EARLY YEARS EDUCATION,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF ECOLOGICAL ECONOMICS & STATISTICS,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF ECOLOGY & DEVELOPMENT,0,0,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF ECOSYSTEMS AND ECOLOGY SCIENCE-IJEES,0,0,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF EMERGENCY MANAGEMENT,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF ENGINEERING AND GEOSCIENCES,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,1,X,NA,X,X,1,J,1
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,1,X,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,1,1,1,1,1,X,J,1
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1,0,NA,X,1,X,J,1
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,1,X,NA,X,1,X,J,1
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,0,0,X,X,0,0,J,1
INTERNATIONAL JOURNAL OF GENOMICS,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1,X,NA,0,1,1,J,1
INTERNATIONAL JOURNAL OF GEOMATE,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF GLOBAL WARMING,0,0,0,0,X,X,J,1
INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,1,X,NA,X,1,X,J,1
INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,1,0,NA,0,1,X,J,1
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,1,X,NA,X,1,X,J,1
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1,X,NA,1,X,1,J,1
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,1,1,NA,0,1,1,J,1
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,0,X,X,0,X,X,J,1
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,0,X,X,X,X,0,J,1
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,0,0,X,0,0,X,J,1
INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,1,1,NA,X,1,1,J,1
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF PLANT PRODUCTION,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF PLANT SCIENCES,1,X,NA,1,X,1,J,1
INTERNATIONAL JOURNAL OF PRIMATOLOGY,1,1,NA,1,1,1,J,1
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF PUBLIC THEOLOGY,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF REMOTE SENSING,1,1,NA,1,1,1,J,1
INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF SOCIAL WELFARE,0,X,X,X,0,X,J,1
INTERNATIONAL JOURNAL OF SOCIOLOGY,0,X,0,X,X,X,J,1
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1,1,NA,1,1,1,J,1
INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF TECHNOLOGY,0,0,X,X,X,X,J,1
INTERNATIONAL JOURNAL OF THE COMMONS,1,1,NA,1,1,X,J,1
INTERNATIONAL JOURNAL OF TOURISM RESEARCH,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0,0,0,0,X,X,J,1
INTERNATIONAL JOURNAL OF URBAN SCIENCES,1,1,NA,X,X,X,J,1
INTERNATIONAL JOURNAL OF WATER GOVERNANCE,1,X,NA,1,X,X,J,1
INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,1,X,NA,X,1,X,J,1
INTERNATIONAL JOURNAL OF WILDLAND FIRE,1,X,NA,1,1,1,J,1
INTERNATIONAL LETTERS OF NATURAL SCIENCES,1,X,1,X,X,X,J,1
"INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION - 2012, VOL 4, PTS A AND B",1,X,NA,X,1,X,B,0
INTERNATIONAL NURSING REVIEW,0,0,X,X,X,X,J,1
"INTERNATIONAL PROCEEDINGS ON CELLULAR AUTOMATA MODELING FOR URBAN AND SPATIAL SYSTEM, CAMUSS 2012",1,X,NA,X,1,X,B,0
INTERNATIONAL REGIONAL SCIENCE REVIEW,1,X,NA,X,1,X,J,1
INTERNATIONAL REVIEW OF ENVIRONMENTAL AND RESOURCE ECONOMICS,0,X,0,0,X,X,J,1
INTERNATIONAL REVIEW OF HYDROBIOLOGY,1,X,NA,X,0,1,J,1
INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE,0,0,X,X,X,X,J,1
"INTERNATIONAL SEMINAR ON NUCLEAR WAR AND PLANETARY EMERGENCIES - 22ND SESSION: NUCLEAR SUBMARINE DECONTAMINATION, CHEMICAL STOCKPILED WEAPONS, NEW EPIDEMICS, CLONING OF GENES, NEW MILITARY THREATS, GLOBAL PLANETARY CHANGES: OZONE HOLE & CLIMATE IMPACT, DESERTIFICATION, WATER, FORESTRY & URBANISM, AND COSMIC OBJECTS & ENERGY",1,X,NA,X,X,1,B,0
INTERNATIONAL SEMINAR ON NUCLEAR WAR AND PLANETARY EMERGENCIES 40TH SESSION,0,X,X,X,0,X,B,0
INTERNATIONAL SOCIAL SCIENCE JOURNAL,1,X,NA,X,X,1,J,1
INTERNATIONAL SOCIOLOGY,0,X,0,X,X,X,J,1
INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH,1,1,NA,X,X,X,J,1
INTERNATIONAL SYMPOSIUM ON GREENER CITIES FOR MORE EFFICIENT ECOSYSTEM SERVICES IN A CLIMATE CHANGING WORLD,1,1,NA,X,X,X,S,0
INTERNATIONAL THEORY,0,0,X,X,X,X,J,1
INVASIVE ALIEN PLANTS: AN ECOLOGICAL APPRAISAL FOR THE INDIAN SUBCONTINENT,0,X,X,X,0,X,B,0
INVASIVE PLANT SCIENCE AND MANAGEMENT,1,1,NA,1,1,1,J,1
Invasive Plants: Ecological and Agricultural Aspects,0,X,X,X,X,0,B,0
INVASIVE SPECIES AND GLOBAL CLIMATE CHANGE,1,X,NA,1,X,X,B,0
INVERTEBRATE BIOLOGY,0,X,X,X,0,X,J,1
INVERTEBRATE SYSTEMATICS,0,0,X,X,X,X,J,1
INVESTIGACION AGRARIA-SISTEMAS Y RECURSOS FORESTALES,1,X,NA,X,1,X,J,1
INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,1,X,NA,X,0,1,J,1
IODP-CANADA SUMMER SCHOOL ON OCEAN AND CLIMATE CHANGES IN POLAR AND SUBPOLAR ENVIRONMENTS,0,X,X,X,0,X,S,0
IRANIAN JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE & ENGINEERING,1,X,NA,X,X,1,J,1
IRANIAN JOURNAL OF FISHERIES SCIENCES,0,X,0,X,X,X,J,1
IRISH POLITICAL STUDIES,0,0,X,X,X,X,J,1
IRRIGATION AND DRAINAGE,1,1,NA,1,X,X,J,1
ISIS,0,0,X,X,X,X,J,1
"ISISS 2005: Innovation & Sustainability of Structures, Vol 1-3",0,X,X,X,X,0,B,0
ISJ-INVERTEBRATE SURVIVAL JOURNAL,0,X,X,X,X,0,J,1
ISLAND IN THE STREAM: OCEANOGRAPHY AND FISHERIES OF THE CHARLESTON BUMP,1,X,NA,X,X,1,S,0
ISLAND STUDIES JOURNAL,1,1,1,X,X,X,J,1
ISME JOURNAL,0,0,0,0,X,X,J,1
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,0,X,X,X,0,X,J,1
ISPRS GEOSPATIAL WEEK 2015,0,X,X,0,X,X,S,0
ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,1,1,NA,X,X,X,J,1
ISPRS INTERNATIONAL WORKSHOP ON SPATIOTEMPORAL COMPUTING,0,X,X,0,X,X,B,0
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,1,1,NA,1,X,1,J,1
ISPRS TECHNICAL COMMISSION VIII SYMPOSIUM,1,X,NA,1,X,X,S,0
ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,1,X,NA,0,X,1,J,1
ISRAEL JOURNAL OF PLANT SCIENCES,1,X,NA,X,X,1,J,1
ISRAEL JOURNAL OF ZOOLOGY,1,X,NA,X,X,1,J,1
ISSUES & STUDIES,0,X,X,X,0,X,J,1
ISWEE'11,1,X,NA,X,1,X,S,0
ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA,0,X,0,X,X,X,J,1
ITALIAN JOURNAL OF AGRONOMY,1,1,NA,X,X,X,J,1
ITALIAN JOURNAL OF ZOOLOGY,1,X,NA,1,X,X,J,1
"ITCS: 2009 INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND COMPUTER SCIENCE, PROCEEDINGS, VOL 2, PROCEEDINGS",0,X,X,X,X,0,B,0
"ITESS: 2008 PROCEEDINGS OF INFORMATION TECHNOLOGY AND ENVIRONMENTAL SYSTEM SCIENCES, PT 1",0,X,X,X,X,0,B,0
IV INTERNATIONAL SYMPOSIUM ON ACCLIMATIZATION AND ESTABLISHMENT OF MICROPROPAGATED PLANTS,1,X,NA,X,1,X,S,0
IX INTERNATIONAL WORKSHOP ON SAP FLOW,1,X,NA,1,X,X,S,0
JAMBA-JOURNAL OF DISASTER RISK STUDIES,1,1,NA,X,X,X,J,1
JAPANESE JOURNAL OF INFECTIOUS DISEASES,0,X,0,X,X,X,J,1
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1,X,NA,1,X,X,J,1
JCDL 09: PROCEEDINGS OF THE 2009 ACM/IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES,1,X,NA,X,X,1,S,0
"JOINT INTERNATIONAL CONFERENCE ON ENERGY, ECOLOGY AND ENVIRONMENT ICEEE 2018 AND ELECTRIC AND INTELLIGENT VEHICLES ICEIV 2018",1,1,NA,X,X,X,S,0
JOURNAL FOR EUROPEAN ENVIRONMENTAL & PLANNING LAW,0,X,0,X,X,X,J,1
JOURNAL FOR NATURE CONSERVATION,1,1,NA,1,1,1,J,1
JOURNAL FUR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT-JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY,1,X,NA,X,1,X,J,1
JOURNAL OF ADOLESCENT HEALTH,0,X,X,X,X,0,J,1
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,0,X,X,X,0,X,J,1
JOURNAL OF AFRICAN ECONOMIES,1,X,NA,X,X,1,J,1
JOURNAL OF AFRICAN HISTORY,0,X,X,X,X,0,J,1
JOURNAL OF AGRARIAN CHANGE,0,0,X,X,X,X,J,1
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1,1,NA,X,1,1,J,1
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0,X,X,X,X,0,J,1
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1,NA,NA,0,0,1,J,1
JOURNAL OF AGRICULTURAL ECONOMICS,1,NA,NA,X,X,1,J,1
JOURNAL OF AGRICULTURAL EDUCATION & EXTENSION,1,1,NA,X,X,X,J,1
JOURNAL OF AGRICULTURAL ENGINEERING,1,X,NA,1,X,X,J,1
JOURNAL OF AGRICULTURAL SCIENCE,1,1,NA,1,1,X,J,1
JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,1,1,NA,1,X,X,J,1
JOURNAL OF AGROMETEOROLOGY,1,X,NA,X,1,X,J,1
JOURNAL OF ANGLICAN STUDIES,0,X,X,X,0,X,J,1
JOURNAL OF ANIMAL AND PLANT SCIENCES,1,X,NA,0,1,X,J,1
JOURNAL OF ANIMAL ECOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF ANIMAL SCIENCE,1,1,NA,1,X,X,J,1
JOURNAL OF APICULTURAL RESEARCH,1,X,NA,X,1,X,J,1
JOURNAL OF APPLIED ECOLOGY,1,1,1,1,1,1,J,1
JOURNAL OF APPLIED ENTOMOLOGY,1,1,NA,0,X,1,J,1
JOURNAL OF APPLIED GENETICS,1,X,NA,1,X,X,J,1
JOURNAL OF APPLIED ICHTHYOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF APPLIED METEOROLOGY,1,X,NA,X,X,1,J,1
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,1,X,1,X,X,X,J,1
JOURNAL OF APPLIED PHYCOLOGY,1,0,NA,1,1,X,J,1
JOURNAL OF APPLIED REMOTE SENSING,1,X,NA,1,1,X,J,1
JOURNAL OF AQUATIC ANIMAL HEALTH,1,X,NA,X,X,1,J,1
JOURNAL OF AQUATIC PLANT MANAGEMENT,1,1,NA,X,X,1,J,1
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,0,X,0,X,X,X,J,1
JOURNAL OF ARCHAEOLOGICAL RESEARCH,1,X,1,X,X,X,J,1
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1,X,NA,1,1,0,J,1
JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS,0,0,X,X,X,X,J,1
JOURNAL OF ARID ENVIRONMENTS,1,1,1,1,1,1,J,1
JOURNAL OF ARID LAND,1,1,NA,1,1,X,J,1
JOURNAL OF ARTHROPOD-BORNE DISEASES,1,X,1,X,X,X,J,1
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1,1,NA,1,X,X,J,1
JOURNAL OF ASIAN EARTH SCIENCES,0,X,X,X,X,0,J,1
JOURNAL OF ASIAN STUDIES,0,0,X,X,X,X,J,1
JOURNAL OF AVIAN BIOLOGY,1,1,NA,X,X,0,J,1
JOURNAL OF AYURVEDA AND INTEGRATIVE MEDICINE,0,0,X,X,X,X,J,1
JOURNAL OF BALTIC STUDIES,0,X,0,X,X,X,J,1
JOURNAL OF BASIC MICROBIOLOGY,1,X,1,X,X,X,J,1
JOURNAL OF BEHAVIORAL MEDICINE,0,X,0,X,X,X,J,1
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY,0,X,X,X,0,X,J,1
JOURNAL OF BIOENERGY AND FOOD SCIENCE,1,X,1,X,X,X,J,1
JOURNAL OF BIOGEOGRAPHY,1,1,1,1,1,1,J,1
JOURNAL OF BIOLOGICAL DYNAMICS,1,X,NA,X,1,X,J,1
JOURNAL OF BIOLOGICAL PHYSICS,1,X,NA,1,X,X,J,1
JOURNAL OF BIOLOGICAL RESEARCH-THESSALONIKI,1,X,NA,1,1,X,J,1
JOURNAL OF BIOLOGICAL SYSTEMS,1,X,NA,X,1,X,J,1
JOURNAL OF BIOMEDICAL INFORMATICS,0,0,X,X,X,X,J,1
JOURNAL OF BIOMEDICAL SEMANTICS,0,X,0,X,X,X,J,1
JOURNAL OF BRYOLOGY,1,0,1,X,X,X,J,1
JOURNAL OF BUSINESS ETHICS,1,0,NA,X,1,X,J,1
JOURNAL OF BUSINESS RESEARCH,0,X,0,X,X,X,J,1
JOURNAL OF CHEMICAL ECOLOGY,1,1,NA,X,X,X,J,1
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,1,X,NA,X,1,X,J,1
JOURNAL OF CHILD HEALTH CARE,0,X,X,X,0,X,J,1
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0,X,X,0,X,X,J,1
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,0,0,X,X,X,X,J,1
JOURNAL OF CLEANER PRODUCTION,1,1,1,1,1,1,J,1
JOURNAL OF CLIMATE,1,X,NA,X,1,1,J,1
JOURNAL OF CLIMATE CHANGE,0,X,0,X,X,X,J,1
JOURNAL OF COASTAL CONSERVATION,1,1,1,1,1,X,J,1
JOURNAL OF COASTAL RESEARCH,1,1,1,1,1,1,J,1
JOURNAL OF COGNITIVE PSYCHOLOGY,0,X,0,X,X,X,J,1
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1,X,NA,X,1,X,J,1
JOURNAL OF CONTEMPORARY ASIA,0,X,0,X,X,X,J,1
JOURNAL OF CONTEMPORARY WATER RESEARCH & EDUCATION,1,X,1,X,X,X,J,1
JOURNAL OF CRUSTACEAN BIOLOGY,1,1,NA,X,X,0,J,1
JOURNAL OF CULTURAL HERITAGE,1,X,NA,X,X,1,J,1
JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT,1,1,NA,X,X,X,J,1
JOURNAL OF DAIRY SCIENCE,0,0,X,X,X,X,J,1
JOURNAL OF DESTINATION MARKETING & MANAGEMENT,1,0,1,X,X,X,J,1
JOURNAL OF DISCRETE MATHEMATICAL SCIENCES & CRYPTOGRAPHY,0,X,0,X,X,X,J,1
JOURNAL OF DYNAMICS AND GAMES,1,1,NA,X,X,X,J,1
JOURNAL OF EARTH SCIENCE,0,X,X,X,0,X,J,1
JOURNAL OF EASTERN AFRICAN STUDIES,0,X,0,X,X,X,J,1
JOURNAL OF ECOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF ECONOMIC AND SOCIAL POLICY,1,X,NA,1,X,X,J,1
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,0,X,0,X,X,X,J,1
JOURNAL OF ECONOMIC ENTOMOLOGY,1,0,1,1,1,X,J,1
JOURNAL OF ECONOMIC ISSUES,0,X,X,0,X,X,J,1
JOURNAL OF ECONOMIC PSYCHOLOGY,0,X,X,X,X,0,J,1
JOURNAL OF ENERGY & NATURAL RESOURCES LAW,1,1,NA,X,X,X,J,1
JOURNAL OF ENTERPRISING COMMUNITIES-PEOPLE AND PLACES OF GLOBAL ECONOMY,0,X,0,X,X,X,J,1
JOURNAL OF ENTOMOLOGICAL SCIENCE,1,X,NA,X,1,X,J,1
JOURNAL OF ENVIRONMENT & DEVELOPMENT,1,0,NA,1,0,X,J,1
JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT,1,1,NA,X,X,X,J,1
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1,1,NA,X,X,X,J,1
JOURNAL OF ENVIRONMENTAL BIOLOGY,1,X,NA,1,X,1,J,1
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,1,0,1,X,1,1,J,1
JOURNAL OF ENVIRONMENTAL ECONOMICS AND POLICY,1,1,NA,X,X,X,J,1
JOURNAL OF ENVIRONMENTAL ENGINEERING,1,X,NA,1,X,X,J,1
JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,1,X,NA,X,X,1,J,1
JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,1,X,NA,X,X,1,J,1
JOURNAL OF ENVIRONMENTAL HEALTH,0,0,X,X,X,0,J,1
JOURNAL OF ENVIRONMENTAL INFORMATICS,1,1,NA,1,X,1,J,1
JOURNAL OF ENVIRONMENTAL LAW,1,X,NA,1,X,1,J,1
JOURNAL OF ENVIRONMENTAL MANAGEMENT,1,1,1,1,1,1,J,1
JOURNAL OF ENVIRONMENTAL MONITORING,1,X,NA,X,1,1,J,1
JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,1,1,NA,1,1,1,J,1
JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,1,1,NA,1,1,X,J,1
JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0,X,0,X,0,X,J,1
JOURNAL OF ENVIRONMENTAL QUALITY,1,0,NA,1,1,1,J,1
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,1,X,NA,X,X,1,J,1
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,0,X,X,X,X,0,J,1
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,1,1,NA,X,X,X,J,1
JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,1,X,NA,1,1,X,J,1
JOURNAL OF ENVIRONMENTAL SCIENCES,1,X,NA,X,X,1,J,1
JOURNAL OF ETHNOBIOLOGY,1,1,NA,1,1,X,J,1
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,1,1,NA,1,1,1,J,1
JOURNAL OF ETHNOPHARMACOLOGY,1,1,NA,0,0,1,J,1
JOURNAL OF EUKARYOTIC MICROBIOLOGY,1,X,NA,1,X,X,J,1
JOURNAL OF EUROPEAN PUBLIC POLICY,1,X,NA,X,X,1,J,1
JOURNAL OF EVOLUTIONARY BIOLOGY,0,X,X,X,X,0,J,1
JOURNAL OF EXPERIENTIAL EDUCATION,1,X,1,X,X,X,J,1
JOURNAL OF EXPERIMENTAL BIOLOGY,1,1,NA,0,1,X,J,1
JOURNAL OF EXPERIMENTAL BOTANY,1,X,NA,0,1,X,J,1
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0,X,X,X,X,0,J,1
JOURNAL OF FIELD ORNITHOLOGY,1,1,NA,1,1,X,J,1
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,1,1,NA,X,1,X,J,1
JOURNAL OF FISH BIOLOGY,1,1,NA,1,1,1,J,1
JOURNAL OF FLOOD RISK MANAGEMENT,1,1,NA,X,0,X,J,1
JOURNAL OF FLUORINE CHEMISTRY,0,X,X,0,X,X,J,1
JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,1,X,NA,1,1,1,J,1
JOURNAL OF FORAMINIFERAL RESEARCH,0,X,X,X,X,0,J,1
JOURNAL OF FOREST ECONOMICS,1,X,1,X,X,X,J,1
JOURNAL OF FOREST RESEARCH,1,X,1,X,X,X,J,1
JOURNAL OF FORESTRY,1,1,NA,1,1,1,J,1
JOURNAL OF FORESTRY RESEARCH,1,1,NA,X,X,X,J,1
JOURNAL OF FRESHWATER ECOLOGY,1,1,NA,1,X,X,J,1
JOURNAL OF FUNGI,1,1,NA,1,X,X,J,1
JOURNAL OF GAMBLING ISSUES,0,X,0,X,X,X,J,1
JOURNAL OF GENERAL INTERNAL MEDICINE,0,0,X,X,X,X,J,1
JOURNAL OF GENETICS,1,1,NA,X,X,X,J,1
JOURNAL OF GEOGRAPHICAL SCIENCES,1,1,NA,X,1,X,J,1
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1,1,NA,0,0,X,J,1
JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,1,1,NA,X,0,X,J,1
