Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Status
1674-7313,Science China Earth Sciences,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1674-7321,Science China Technological Sciences,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1679-0073,Natureza & conservação,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2014-2016,ACTIVE
1708-3087,Ecology and Society,1.11075E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,-2006,ACTIVE
1712-6568,Avian Conservation and Ecology,1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,-2005,ACTIVE
1712-9664,McGill International Journal of Sustainable Development Law and Policy / Revue internationale de droit et politique du développement durable de McGill,1E+15,2.67E+15,Canadian Business & Current Affairs Database,getFullTxt,2013-2014,ACTIVE
1726-2135,Journal of Environmental Informatics,1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2006,ACTIVE
1730-413X,Oceanological and Hydrobiological Studies,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,2011-2014,ACTIVE
1742-1705,Renewable Agriculture and Food Systems,1.11085E+14,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2004,ACTIVE
1742-5689,Interface / Journal of the Royal Society interface,1E+15,5.49E+15,Royal Society Publishing,getFullTxt,-2004,ACTIVE
1744-2648,Evidence & policy,1.11098E+14,1E+15,EBSCOhost SocINDEX with Full Text,getFullTxt,2007-2017,ACTIVE
1744-5647,Journal of maps,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2008,ACTIVE
1744-9561,Biology Letters,1E+15,5.28E+15,Royal Society Publishing,getFullTxt,-2005,ACTIVE
1747-7778,Journal of Simulation,1E+15,3.71E+15,ABI/INFORM Collection,getFullTxt,2006-2017,ACTIVE
1749-4613,Fungal biology reviews,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2007,ACTIVE
1749-4869,Integrative Zoology,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2006-2020,ACTIVE
1750-5836,International journal of greenhouse gas control,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2007,ACTIVE
1750-6816,Review of Environmental Economics and Policy,1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,2007-2020,ACTIVE
1753-318X,Journal of Flood Risk Management,1E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,2016-2019,ACTIVE
1753-8947,International journal of digital earth,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2008-2020,ACTIVE
1754-5048,Fungal Ecology,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2008,ACTIVE
1755-098X,Molecular Ecology Resources,1E+15,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2008,ACTIVE
1755-263X,Conservation Letters,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2008,ACTIVE
1755-6910,Earth and environmental science transactions of the Royal Society of Edinburgh,1E+15,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2007,ACTIVE
1757-1693,GCB Bioenergy,1E+15,2.55E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
1759-9660,Analytical methods,1E+15,3.28E+15,CRKN Royal Society of Chemistry Journals Gold,getFullTxt,-2009,ACTIVE
1798-6540,Aquatic Invasions,2.49E+15,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2012,ACTIVE
1803-8417,European Countryside,1E+15,2.56E+15,EBSCOhost Academic Search Complete,getFullTxt,-2013,ACTIVE
1814-232X,African journal of marine science,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2008-2020,ACTIVE
1827-9635,Acta Herpetologica,1E+15,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2009,ACTIVE
1844-8135,Annals of Forest Research,2.48E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2013,ACTIVE
1861-3829,Journal of Plant Diseases and Protection,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2003,ACTIVE
1862-6033,Journal of landscape architecture,1E+15,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-2006,ACTIVE
1863-0650,"CLEAN – Soil, Air, Water",1E+15,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2007,ACTIVE
1866-7511,Arabian Journal of Geosciences,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2008,ACTIVE
1866-9298,Applied Geomatics,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2009,ACTIVE
1867-1616,Marine Biodiversity,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1998,ACTIVE
1870-3453,Revista Mexicana de biodiversidad,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2013-2017,ACTIVE
1871-1014,Quaternary geochronology,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2006,ACTIVE
1872-7859,Maritime Studies,2.67E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2012,ACTIVE
1872-8855,Arthropod-Plant Interactions,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2007,ACTIVE
1873-7617,Small-Scale Forestry,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2002,ACTIVE
1874-463X,Applied Spatial Analysis and Policy,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2008,ACTIVE
1875-1768,Forensic Science International: Genetics Supplement Series,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2008,ACTIVE
1875-9637,Aeolian research,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2009,ACTIVE
1876-4517,Food Security,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2009,ACTIVE
1877-3435,Current Opinion in Environmental Sustainability,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2009,ACTIVE
1877-7252,Conservation Genetics Resources,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2009,ACTIVE
1895-104X,Central European Journal of Biology,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,2006-2014,ACTIVE
1911-4745,Comparative Cognition & Behavior Reviews,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2008,ACTIVE
1931-5244,Translational Research,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2006,ACTIVE
1932-104X,"Biofuels, Bioproducts and Biorefining",1E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,-2007,ACTIVE
1932-6157,The Annals of Applied Statistics,1E+15,2.67E+15,JSTOR Arts and Sciences VII,getFullTxt,2007-2017,ACTIVE
1934-6344,International Journal of Agricultural and Biological Engineering,1E+15,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2009,ACTIVE
1936-7031,Journal of contemporary water research & education,1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2012,ACTIVE
1939-1404,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1E+15,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,-2008,ACTIVE
1939-1811,Historical Studies in the Natural Sciences,1E+15,2.67E+15,JSTOR Arts and Sciences VIII,getFullTxt,2008-2017,ACTIVE
1939-7291,Invasive Plant Science and Management,1E+15,4.33E+15,CRKN Cambridge University Press Journals,getFullTxt,-2012,ACTIVE
1940-0829,Tropical Conservation Science,1E+15,3.78E+15,Sage CRKN Collection,getFullTxt,-2008,ACTIVE
1940-7963,"Journal of policy research in tourism, leisure and events",1E+15,3.71E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-2009,ACTIVE
1941-1405,Annual Review of Marine Science,1E+15,1E+15,Annual Reviews,getFullTxt,2009-2015,ACTIVE
1942-5120,"Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science",1E+15,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2009,ACTIVE
1943-815X,Journal of integrative environmental sciences,1E+15,4.1E+15,EBSCOhost Environment Complete,getFullTxt,-2009,ACTIVE
1944-3994,Desalination and water treatment,1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,2009-2012,ACTIVE
1944-687X,Journal of fish and wildlife management,1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2011,ACTIVE
1946-7664,Mathematical and Computational Forestry & Natural Resource Sciences,1E+15,2.55E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
1948-8327,"Weather, Climate, and Society",1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2009,ACTIVE
1961-9502,Knowledge & Management of Aquatic Ecosystems,1E+15,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2012,ACTIVE
1965-0175,Water Alternatives,1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,-2008,ACTIVE
1971-7458,IForest,1E+15,2.55E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
1976-9571,Genes & Genomics,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2009,ACTIVE
1995-7645,Asian Pacific Journal of Tropical Medicine,2.48E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2010-2017,ACTIVE
2032-3913,Plant Ecology and Evolution,2.67E+15,2.67E+15,JSTOR Life Sciences Collection,getFullTxt,-2010,ACTIVE
2037-4631,Rendiconti Lincei,2.67E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
2042-5945,"World journal of science, technology and sustainable development",3.44E+15,4.33E+15,ABI/INFORM Collection,getFullTxt,2010-2020,ACTIVE
2042-8898,Interface focus,2.67E+15,5.49E+15,Royal Society Publishing,getFullTxt,-2011,ACTIVE
2046-2069,RSC Advances,3.52E+15,3.28E+15,CRKN Royal Society of Chemistry Journals Gold,getFullTxt,-2011,ACTIVE
2047-1025,Transnational Environmental Law,3.39E+15,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2012,ACTIVE
2049-1948,Wiley Interdisciplinary Reviews: Water,3.19E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,-2014,ACTIVE
2079-0961,Arid Ecosystems,2.58E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2011,ACTIVE
2095-0195,Frontiers of Earth Science,2.67E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2007,ACTIVE
2095-3119,Journal of Integrative Agriculture,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2095-6339,International Soil and Water Conservation Research,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2013,ACTIVE
2095-8099,Engineering ,3.88E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2015,ACTIVE
2096-5508,Journal of Oceanology and Limnology,4.1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
2096-675X,Journal of Ocean Engineering and Science,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2016,ACTIVE
2147-0626,Tarih Kültür ve Sanat Araştırmaları Dergisi,2.67E+15,3.71E+15,EBSCOhost Academic Search Complete,getFullTxt,-2013,ACTIVE
2150-6779,Environment and Society,1E+15,4.1E+15,EBSCOhost Environment Complete,getFullTxt,2010-2020,ACTIVE
2165-8102,Annual Review of Animal Biosciences,2.55E+15,2.67E+15,Annual Reviews,getFullTxt,2013-2015,ACTIVE
2168-2216,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2.56E+15,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,-2013,ACTIVE
2168-3565,Agroecology and sustainable food systems,2.56E+15,2.56E+15,EBSCOhost Environment Complete,getFullTxt,2013-2020,ACTIVE
2169-8953,Journal of Geophysical Research: Biogeosciences,2.56E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,-2013,ACTIVE
2169-897X,Journal of Geophysical Research: Atmospheres,2.56E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,-2013,ACTIVE
2169-9275,Journal of Geophysical Research: Oceans,2.56E+15,3.79E+15,CRKN Wiley Online Library,getFullTxt,-2013,ACTIVE
2190-572X,3 Biotech,3.4E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2011,ACTIVE
2198-6436,Current Forestry Reports,3.71E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2015,ACTIVE
2199-2401,Mammal Research,3.71E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2001,ACTIVE
2210-6561,"Learning, Culture and Social Interaction",3.46E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2210-6707,Sustainable Cities and Society,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2011,ACTIVE
2211-4645,Environmental Development,3.23E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2211-6753,Spatial Statistics,3.46E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2211-9124,Global Food Security,3.46E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2212-0416,Ecosystem Services,3.46E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2212-0947,Weather and Climate Extremes,3.42E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2013,ACTIVE
2212-0963,Climate Risk Management,2.66E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2212-4209,International Journal of Disaster Risk Reduction,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2212-571X,Journal of Destination Marketing & Management,3.46E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2213-0780,Journal of Outdoor Recreation and Tourism,3.35E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2013,ACTIVE
2213-2244,International Journal for Parasitology: Parasites and Wildlife,3.35E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2213-3054,Anthropocene,3.35E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2013,ACTIVE
2214-5745,Current Opinion in Insect Science,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2214-6296,Energy Research & Social Science,3.35E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2215-0161,MethodsX,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2226-5856,Journal of Urban Management,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2012,ACTIVE
2228-5482,Journal of Reproduction & Infertility,2.67E+15,4.1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2009,ACTIVE
2243-4690,Science and Technology Studies,3.34E+15,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2012,ACTIVE
2325-1042,Environmental sociology,2.56E+15,5.47E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-2015,ACTIVE
2325-4262,Chinese Journal of Population Resources and Environment,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2020,ACTIVE
2328-4277,Earth's Future,2.55E+15,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2014,ACTIVE
2351-9894,Global Ecology and Conservation,3.71E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2352-1546,Current Opinion in Behavioral Sciences,2.56E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2015,ACTIVE
2352-1864,Environmental Technology & Innovation,3.71E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2352-3409,Data in Brief,3.71E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2014,ACTIVE
2352-4855,Regional Studies in Marine Science,2.56E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2015,ACTIVE
2363-5037,Sustainable Water Resources Management,3.71E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2015,ACTIVE
2363-6203,Modeling Earth Systems and Environment,4.2E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2015,ACTIVE
2375-2548,Science advances,2.56E+15,3.46E+15,American Association for the Advancement of Science,getFullTxt,-2015,ACTIVE
2405-8440,Heliyon,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2015,ACTIVE
2405-8971,IFAC-PapersOnLine,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2015,ACTIVE
2470-1394,Mitochondrial DNA Part A,3.71E+15,4.1E+15,EBSCOhost Academic Search Complete,getFullTxt,2016-2020,ACTIVE
2530-0644,Perspectives in Ecology and Conservation,3.71E+15,3.71E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2017,ACTIVE
